時間,聯盟,主隊,客隊,預測勝方,主隊勝率,客隊勝率,信心,星等,風險,模型,爆冷機率,Kelly指數,讓分,大小分
2026-06-06 23:08:43,MLB,光芒,紅人,光芒,53.42%,46.58%,6.84%,,,,,,,
2026-06-06 23:08:58,MLB,金鶯,藍鳥,金鶯,53.42%,46.58%,6.84%,,,,,,,
2026-06-06 23:31:02,MLB,洋基,藍鳥,洋基,61.49%,38.51%,22.97%,★★★,中風險,XGBoost + Elo,,,,
2026-06-06 23:36:11,MLB,洋基,紅襪,洋基,61.57%,38.43%,23.13%,★★★,中風險,XGBoost + Elo,,,,
2026-06-06 23:36:21,MLB,洋基,紅襪,洋基,61.57%,38.43%,23.13%,★★★,中風險,XGBoost + Elo,,,,
2026-06-06 23:36:36,MLB,洋基,紅襪,紅襪,44.38%,55.62%,11.24%,★★,中高風險,XGBoost + Elo,,,,
2026-06-06 23:43:35,MLB,道奇,費城人,道奇,61.21%,38.79%,22.41%,★★★,中風險,XGBoost + Elo + 近期狀態,38.79%,18.10%,,
2026-06-06 23:43:52,MLB,道奇,費城人,道奇,61.21%,38.79%,22.41%,★★★,中風險,XGBoost + Elo + 近期狀態,38.79%,18.10%,,
2026-06-06 23:52:24,MLB,洋基,紅襪,洋基,63.57%,36.43%,27.13%,★★★,中風險,XGBoost + Elo + 近期狀態,36.43%,23.09%,洋基 -2.700000047683716,小分
2026-06-06 23:53:26,MLB,藍鳥,紅襪,藍鳥,63.73%,36.27%,27.45%,★★★,中風險,XGBoost + Elo + 近期狀態,36.27%,23.42%,藍鳥 -2.700000047683716,大分
2026-06-07 00:05:39,MLB,紅襪,藍鳥,紅襪,62.07%,37.93%,24.13%,★★★,中風險,XGBoost + Elo + 近期狀態,37.93%,19.92%,紅襪 -2.5,小分
2026-06-07 00:11:31,MLB,光芒,守護者,光芒,63.49%,36.51%,26.97%,★★★,中風險,XGBoost + Elo + 近期狀態,36.51%,22.92%,光芒 -2.5,大分
2026-06-07 00:13:29,MLB,光芒,紅襪,光芒,63.81%,36.19%,27.61%,★★★,中風險,XGBoost + Elo + 近期狀態,36.19%,23.59%,光芒 -2.5,10.5 大分
2026-06-07 00:13:46,足球,烏拉圭,葡萄牙,烏拉圭,75.35%,24.65%,50.70%,★★★★★,低風險,XGBoost + Elo + 近期狀態,24.65%,47.96%,烏拉圭 -5.5,4.5 大分
2026-06-07 00:14:19,足球,烏拉圭,葡萄牙,烏拉圭,67.45%,32.55%,34.90%,★★★,中風險,XGBoost + Elo + 近期狀態,32.55%,31.28%,烏拉圭 -3.5,2.5 大分
2026-06-07 00:14:43,足球,日本,韓國,日本,66.97%,33.03%,33.94%,★★★,中風險,XGBoost + Elo + 近期狀態,33.03%,30.27%,日本 -3.5,2.5 大分
2026-06-07 00:15:47,足球,阿森納,曼城,阿森納,66.97%,33.03%,33.94%,★★★,中風險,XGBoost + Elo + 近期狀態,33.03%,30.27%,阿森納 -3.5,2.5 大分
2026-06-07 00:22:49,MLB,道奇,洋基,道奇,64.07%,35.93%,28.13%,★★★,中風險,XGBoost + Elo + 近期狀態,35.93%,24.14%,道奇 -2.5,大分
2026-06-07 00:25:41,MLB,釀酒人,洛磯,釀酒人,81.63%,18.37%,63.26%,★★★★★,低風險,XGBoost + Elo + 近期狀態,18.37%,61.22%,釀酒人 -6.5,大分
2026-06-07 00:32:51,MLB,道奇,教士,道奇,64.20%,35.80%,28.39%,★★★,中風險,XGBoost + Elo + 近期狀態,35.80%,24.42%,道奇 -1.5,大分
2026-06-07 00:33:54,NBA,老鷹,塞爾提克,老鷹,67.75%,32.25%,35.50%,★★★★,中低風險,XGBoost + Elo + 近期狀態,32.25%,31.91%,老鷹 -7.5,大分
2026-06-07 00:34:14,足球,曼城,利物浦,曼城,75.55%,24.45%,51.10%,★★★★★,低風險,XGBoost + Elo + 近期狀態,24.45%,48.39%,曼城 -2.5,大分
2026-06-07 00:47:33,MLB,洋基,紅襪,洋基,63.71%,36.29%,27.41%,★★★,中風險,XGBoost + Elo + 近期狀態,36.29%,23.38%,洋基 -1.5,大分
2026-06-07 01:32:58,MLB,洋基,紅襪,洋基,63.71%,36.29%,27.41%,★★★,中風險,XGBoost + Elo + 近期狀態,36.29%,23.38%,洋基 -1.5,大分
2026-06-07 02:21:44,MLB,洋基,紅襪,洋基,63.71%,36.29%,27.41%,★★★,中風險,XGBoost + Elo + 近期狀態,36.29%,23.38%,洋基 -1.5,大分
2026-06-07 03:06:19,NBA,雷霆,老鷹,雷霆,70.90%,29.10%,41.80%,★★★★,中低風險,XGBoost + Elo + 近期狀態,29.10%,38.56%,雷霆 -7.5,大分
